Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,SalePrice,Lot Shape_ord,Exter Qual_ord,Exter Cond_ord,Bsmt Qual_ord,Bsmt Cond_ord,Bsmt Exposure_ord,BsmtFin Type 1_ord,BsmtFin Type 2_ord,Heating QC_ord,Pool QC_ord,Kitchen Qual_ord,Functional_ord,Fireplace Qu_ord,Garage Qual_ord,Garage Cond_ord,Fence_ord,1st Flr SF + 2nd Flr SF,Lot Area_sqrt,Gr Liv Area_sqrt,1st Flr SF_sqrt,2nd Flr SF_sqrt,Mas Vnr Area_sqrt,Total Bsmt SF_sqrt,Garage Area_sqrt
1044,160,RM,21.0,1680,Pave,No Feature,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,TA,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,TA,4,Typ,0,No Feature,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,No Feature,No Feature,No Feature,0,85400.0,4,3,3,3,3,1,5,1,3,0,3,8,0,3,3,0,987,40.98780306383839,31.416556144810016,21.97726097583591,22.44994432064365,15.231546211727817,21.97726097583591,16.24807680927192
2752,20,RL,64.0,7488,Pave,No Feature,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,Ex,Y,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,No Feature,Attchd,2005.0,RFn,2.0,632.0,TA,TA,Y,105,58,0,0,0,0,No Feature,No Feature,No Feature,0,183600.0,3,4,3,4,3,3,6,1,5,0,4,8,0,3,3,0,1208,86.53323061113575,34.75629439396553,34.75629439396553,0.0,0.0,34.75629439396553,25.13961017995307
807,70,RL,120.0,26400,Pave,No Feature,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,No Feature,No Feature,No Feature,No Feature,0.0,No Feature,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,1900.0,Unf,2.0,576.0,TA,TA,P,0,0,0,0,0,0,No Feature,No Feature,No Feature,0,131000.0,4,4,3,0,0,0,0,0,5,0,3,5,3,3,3,0,2016,162.48076809271922,44.8998886412873,35.888716889852724,26.981475126464083,0.0,0.0,24.0
1177,160,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,Ex,Y,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,No Feature,Detchd,2000.0,Unf,2.0,480.0,TA,TA,Y,169,0,0,0,0,0,No Feature,No Feature,No Feature,0,200000.0,4,4,3,4,3,1,6,1,5,0,4,8,0,3,3,0,1607,51.42956348249516,40.08740450565489,31.016124838541646,25.39685019840059,21.354156504062622,30.983866769659336,21.908902300206645
1480,20,RL,74.0,9627,Pave,No Feature,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,Ex,Y,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,No Feature,Attchd,2007.0,RFn,2.0,610.0,TA,TA,Y,0,50,0,0,0,0,No Feature,No Feature,No Feature,0,193000.0,4,4,3,4,3,3,6,1,5,0,4,8,0,3,3,0,1361,98.1172767661231,36.89173349139343,36.89173349139343,0.0,0.0,36.75595189897821,24.698178070456937
324,20,RL,93.0,10114,Pave,No Feature,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,Ex,Y,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,No Feature,Attchd,2004.0,RFn,2.0,624.0,TA,TA,Y,0,0,0,0,0,0,No Feature,No Feature,No Feature,0,173500.0,4,3,3,5,3,3,1,1,5,0,4,8,0,3,3,0,1430,100.56838469419701,37.815340802378074,37.815340802378074,0.0,0.0,37.815340802378074,24.979991993593593
1311,70,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Fa,N,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,No Feature,Detchd,1916.0,Unf,3.0,513.0,Fa,Fa,Y,0,0,96,0,0,0,No Feature,No Feature,No Feature,0,98000.0,4,3,3,3,3,1,1,1,2,0,3,8,0,2,2,0,1344,67.60917097554147,36.66060555964672,24.979991993593593,26.832815729997478,0.0,24.979991993593593,22.64950330581225
770,20,RL,80.0,8816,Pave,No Feature,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,TA,Y,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,No Feature,Detchd,1963.0,Unf,2.0,480.0,TA,TA,Y,0,80,0,0,0,0,No Feature,MnPrv,No Feature,0,139000.0,4,3,3,3,3,1,3,1,3,0,3,8,0,3,3,3,1121,93.89355675444402,33.481338085566414,33.481338085566414,0.0,0.0,33.481338085566414,21.908902300206645
2063,20,RL,71.0,8197,Pave,No Feature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,660.0,GasA,Ex,Y,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,528.0,TA,TA,Y,138,0,0,0,0,0,No Feature,MnPrv,No Feature,0,143500.0,4,3,3,3,3,1,1,1,5,0,3,8,3,3,3,3,1285,90.53728513711906,35.84689665786984,35.84689665786984,0.0,12.165525060596439,25.69046515733026,22.978250586152114
69,60,FV,72.0,8640,Pave,No Feature,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,Ex,Y,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,No Feature,Attchd,2009.0,Unf,2.0,614.0,TA,TA,Y,169,45,0,0,0,0,No Feature,No Feature,No Feature,0,215200.0,4,3,3,4,3,2,6,1,5,0,4,8,0,3,3,0,1547,92.951600308978,39.331920878594275,27.640549922170507,27.982137159266443,0.0,27.49545416973504,24.779023386727733
2062,20,RL,109.0,8724,Pave,No Feature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,Gd,Y,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,Attchd,1968.0,Fin,2.0,450.0,TA,TA,Y,0,0,0,0,0,0,No Feature,No Feature,No Feature,0,129000.0,4,3,3,4,3,1,4,1,4,0,3,8,1,3,3,0,894,93.40235543068493,29.899832775452108,29.899832775452108,0.0,0.0,29.899832775452108,21.213203435596427
351,120,RL,40.0,5664,Pave,No Feature,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,Ex,Y,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Ex,Attchd,2000.0,Fin,2.0,499.0,TA,TA,Y,212,59,0,0,0,0,No Feature,No Feature,No Feature,0,278000.0,3,4,3,4,3,1,6,1,5,0,5,8,5,3,3,0,1659,75.25955088890711,40.7308237088326,40.7308237088326,0.0,0.0,38.742741255621034,22.338307903688676
2393,60,RL,103.0,12867,Pave,No Feature,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,No Feature,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1209.0,1209.0,GasA,Ex,Y,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2005.0,Fin,2.0,575.0,TA,TA,Y,243,142,0,0,0,0,No Feature,No Feature,No Feature,0,344133.0,3,4,3,5,3,3,1,1,5,0,5,8,4,3,3,0,2253,113.43279948938931,47.46577714522327,34.77067730142742,32.31098884280702,0.0,34.77067730142742,23.979157616563597
12,20,RL,0.0,7980,Pave,No Feature,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,No Feature,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,0,No Feature,GdPrv,Shed,500,185000.0,3,3,4,4,3,1,5,1,5,0,3,8,0,3,3,4,1187,89.33084573650918,34.45286635390443,34.45286635390443,0.0,0.0,34.17601498127012,20.493901531919196
2339,190,RL,100.0,34650,Pave,No Feature,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,0.0,1056.0,GasA,TA,N,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,5,Typ,0,No Feature,Attchd,1955.0,Fin,2.0,572.0,TA,TA,Y,264,0,0,0,0,0,No Feature,No Feature,No Feature,0,145000.0,4,3,3,3,3,2,3,1,3,0,3,8,0,3,3,0,1056,186.14510468986285,32.49615361854384,32.49615361854384,0.0,0.0,32.49615361854384,23.916521486202797
624,20,RL,92.0,10573,Pave,No Feature,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,0.0,141.0,1453.0,GasA,Ex,Y,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1961.0,RFn,2.0,530.0,TA,TA,Y,0,49,0,0,288,0,No Feature,GdPrv,No Feature,0,187500.0,3,3,3,3,3,1,3,1,5,0,3,8,3,3,3,4,1453,102.82509421342633,38.118237105091836,38.118237105091836,0.0,1.7320508075688772,38.118237105091836,23.021728866442675
86,20,RL,65.0,8450,Pave,No Feature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,224.0,894.0,GasA,Ex,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1973.0,Unf,1.0,336.0,TA,TA,Y,416,144,0,0,0,0,No Feature,MnPrv,No Feature,0,138500.0,4,3,4,3,3,1,6,4,5,0,3,8,4,3,3,3,894,91.92388155425118,29.899832775452108,29.899832775452108,0.0,0.0,29.899832775452108,18.33030277982336
1534,50,RL,0.0,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,336.0,942.0,GasA,Ex,Y,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Gd,Detchd,1937.0,Unf,1.0,240.0,TA,TA,Y,0,40,0,0,0,0,No Feature,No Feature,No Feature,0,198000.0,3,3,3,3,3,1,4,1,5,0,4,6,4,3,3,0,1938,108.16653826391968,44.02272140611028,35.566838487557476,25.942243542145693,0.0,30.692018506445613,15.491933384829668
2243,190,C (all),75.0,8250,Pave,No Feature,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,957.0,957.0,GasA,Fa,N,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,TA,9,Typ,0,No Feature,No Feature,0.0,No Feature,0.0,0.0,No Feature,No Feature,N,0,0,133,0,0,0,No Feature,No Feature,No Feature,0,119600.0,4,3,4,3,3,1,1,1,2,0,3,8,0,0,0,0,1991,90.82951062292474,44.62062303464621,32.155870381627054,30.93541659651604,0.0,30.93541659651604,0.0
1957,50,RL,60.0,8064,Pave,No Feature,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Ex,Y,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Detchd,2003.0,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,No Feature,MnPrv,Shed,2000,122900.0,4,3,4,3,3,2,1,1,5,0,3,8,1,3,3,3,924,89.7997772825746,30.397368307141328,25.92296279363144,15.874507866387544,0.0,25.92296279363144,24.0
380,20,RL,80.0,9600,Pave,No Feature,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,0.0,1420.0,2524.0,GasA,TA,Y,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1981.0,Fin,2.0,542.0,TA,TA,Y,474,120,0,0,0,0,No Feature,MnPrv,No Feature,0,278000.0,4,4,3,4,3,1,5,1,3,0,4,8,4,3,3,3,2524,97.97958971132712,50.23942674832188,50.23942674832188,0.0,0.0,50.23942674832188,23.280893453645632
2860,70,RL,0.0,11435,Pave,No Feature,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,792.0,792.0,GasA,Fa,Y,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,1931.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,No Feature,No Feature,No Feature,0,230000.0,3,3,3,4,3,1,1,1,2,0,4,8,4,3,3,0,1517,106.93455942771729,38.948684188300895,28.142494558940577,26.92582403567252,0.0,28.142494558940577,20.0
2517,120,RL,30.0,9549,Pave,No Feature,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1057.0,0.0,1494.0,GasA,Ex,Y,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Gd,Attchd,1995.0,Fin,2.0,481.0,TA,TA,Y,0,30,0,0,216,0,No Feature,No Feature,No Feature,0,270000.0,3,4,4,4,4,3,2,6,5,0,5,8,4,3,3,0,1494,97.71898484941399,38.65229618017538,38.65229618017538,0.0,0.0,38.65229618017538,21.93171219946131
